"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TIMP2",9.38918887479632e-08,0.268659133789012,0.163,0.089,0.00147466600467551
"RASSF2",1.89015142993655e-07,0.265256814292134,0.118,0.058,0.00296867183585834
"SMAD3",3.60620698528762e-07,0.278365329475777,0.222,0.136,0.00566390869109274
"PLEKHA2",3.60943961106868e-07,0.260065796401011,0.157,0.086,0.00566898585314447
"RAPH1",4.26447089485011e-07,0.274139648899543,0.215,0.132,0.00669777798745158
"GALNT10",4.87780982342394e-07,0.283658546860881,0.196,0.117,0.00766108810866964
"RNF145",2.72221377576016e-06,0.267443699412982,0.181,0.11,0.0427550895620891
"PLXNB2",7.66293550094608e-06,0.266280478628798,0.105,0.055,0.120354064977859
"GPR137B",2.77131795032632e-05,0.252024940245026,0.178,0.114,0.435263197278252
"DEAF1",0.00014214757457273,0.26806838864679,0.144,0.091,1
